activityid,facultyid,userid,fields__activity_type,fields__actual_projected_year_of_publication_presentation,fields__author,fields__author_editor_of_larger_work,fields__author_s,fields__author_s_editor_s,fields__book_title,fields__chapter_title,fields__co_contributor,fields__co_contributor_s,fields__conference_location,fields__conference_meeting_name,fields__contributor,fields__contributor_s,fields__copyright_patent_number_id,fields__date,fields__date_or_date_range,fields__date_published,fields__description_abstract,fields__doi,fields__edition,fields__if_patent_cooperation_treaty_list_nations,fields__if_patent_has_been_assigned_to_whom,fields__if_patent_has_been_licensed_to_whom,fields__inventor_s,fields__isbn,fields__isbn_issn,fields__isbn_issn_asin,fields__isbn_issn_asin_number,fields__issn,fields__issn_isbn,fields__issue,fields__issue_number,fields__issue_number_edition,fields__journal,fields__location_of_publisher_city_state_country,fields__month,fields__month_season,fields__name_of_conference,fields__name_of_performing_group,fields__name_of_venue,fields__name_of_venue_sponsor,fields__organization_if_applicable,fields__origin,fields__outlet_if_applicable,fields__page_number_or_number_of_pages,fields__page_numbers,fields__page_numbers_of_number_of_pages,fields__page_numbers_or_number_of_pages,fields__patent_nationality,fields__presenter_s,fields__publisher,fields__publisher_location,fields__pubmed_central_id_number,fields__sponsoring_organization,fields__title,fields__title_of_contribution,fields__title_of_contribution_if_applicable,fields__title_of_intellectual_property,fields__title_of_larger_work,fields__title_of_larger_work_if_applicable,fields__title_of_presentation,fields__title_of_review,fields__title_of_work,fields__type,fields__url,fields__venue_sponsor_location_city_state_country,fields__volume,fields__web_address,fields__work_exhibit_title,attachments,status,authors
33575,111112401,111112401,,2015.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015 ASEE Annual Conference,,,,,Manual,,,,,,,,,,,,,U.S. Construction Management Students Comfort Level With and Knowledge of Mobile Technologies,,,,,,,,Proceeding,,,,,,[],"[{""id"": 33575, ""status"": ""Completed/Published"", ""term"": ""Summer"", ""year"": 2015, ""termid"": ""2015/01"", ""listingorder"": 6, ""completionorder"": 6}]","['Cline, R. C.', 'Davis, K. A.']"
33576,111112401,111112401,,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 ASEE Annual Conference,,,,,Manual,,,,,,,,,,,,,Using Mobile Technology in a Construction Management “Hands-On” Laboratory,,,,,,,,Proceeding,,,,,,[],"[{""id"": 33576, ""status"": ""Completed/Published"", ""term"": ""Summer"", ""year"": 2013, ""termid"": ""2013/01"", ""listingorder"": 6, ""completionorder"": 6}]","['Cline, R. C.', 'Davis, K. A.']"
33577,111112401,111112401,,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 ASEE Annual Conference,,,,,Manual,,,,,,,,,,,,,Bridging the Valley of Death: Examining the Work Environment Influencing Adoption of Innovations in Engineering Education,,,,,,,,Proceeding,,,,,,[],"[{""id"": 33577, ""status"": ""Completed/Published"", ""term"": ""Summer"", ""year"": 2013, ""termid"": ""2013/01"", ""listingorder"": 6, ""completionorder"": 6}]","['Davis, K. A.', 'Perkins, R. A.', 'Cline, R. C.', 'Miller, S.']"
33579,111112401,111112401,,2009.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009 ASEE Annual Conference & Exposition,,,,,Manual,,,,,,,,,,,,,Improving Construction Management Course Comprehension through Experiential Learning,,,,,,,,Proceeding,,,,,,[],"[{""id"": 33579, ""status"": ""Completed/Published"", ""term"": ""Summer"", ""year"": 2009, ""termid"": ""2009/01"", ""listingorder"": 6, ""completionorder"": 6}]","['Davis, K. A.', 'Cline, R. C.']"
33580,111112401,111112401,,2009.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASCE Construction Research Congress 2009,,,,,Manual,,,,,,,,,,,,,Improving Course Comprehension through Experiential Learning,,,,,,,,Proceeding,,,,,,[],"[{""id"": 33580, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2009, ""termid"": ""2009/02"", ""listingorder"": 6, ""completionorder"": 6}]","['Davis, K. A.', 'Cline, R. C.']"
33581,111112401,111112401,,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,American Society for Engineering Education Conferences,,,,,Manual,,,,,,,,,,,,,Bridging the Valley of Death: Examining the work environment influencing adoption of innovations in engineering education,,,,,,,,Proceeding,,,,,,[],"[{""id"": 33581, ""status"": ""Completed/Published"", ""term"": ""Summer"", ""year"": 2013, ""termid"": ""2013/01"", ""listingorder"": 6, ""completionorder"": 6}]","['Davis, K. A.', 'Perkins, R. A.', 'Cline, R. C.', 'Miller, S.']"
33759,114087590,114087590,,1998.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAE Technical Paper,,,,,BibTeX,,,,,,,,,,,,,Waste incineration for resource recovery in bioregenerative life support systems,,,,,,,,Proceeding,,,,,,"[{""attachmentid"": 6772, ""mimetype"": ""custom/url"", ""filename"": ""http://papers.sae.org/981758/"", ""downloadurl"": ""https://faculty180.interfolio.com/public/download.php?key=SDRwNCtxSUpsamxBQ213WS9ucHFuOXdEckhSTndUMEU1ZEl3S1FYNlk1UTRFRytxRHVPV3RGeEM1UlkwREhVeTg0YVBBQWpyRitaK082UjFteTZnMzZwMUprZEdnaUdGRUVpbnZpbU81WGcxL05YdXIyaUtXZHpSRVY1V01lNFNuczhtMSt5OWpSM00ySzY0Wm1HUG1LSUV1SkxZczlWVQ%3D%3D"", ""filesize"": 335377}]","[{""id"": 33759, ""status"": ""Completed/Published"", ""term"": ""Summer"", ""year"": 1998, ""termid"": ""1998/01"", ""listingorder"": 6, ""completionorder"": 6}]","['Fisher, J. W.', 'Pisharody, S.', 'Wignarajah, K.', 'Lighty, J. S.', 'Burton, B.', 'Edeen, M.', 'Davis, K. A.']"
33760,114087590,114087590,,1997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAE Technical Paper,,,,,BibTeX,,,,,,,,,,,,,Waste incineration for resource recovery in a bioregenerative life support system,,,,,,,,Proceeding,,,,,,[],"[{""id"": 33760, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2017, ""termid"": ""2017/02"", ""listingorder"": 6, ""completionorder"": 6}]","['Lighty, J. S.', 'Burton, B.', 'Sirdeshpande, A.', 'Pershing, D.', 'Brouwer, J.', 'Kemp, G.', 'Heap, M. P.', 'Fisher, J.', 'Pisharody, S.', 'others,']"
33801,113075443,113075443,,2017.0,,,,,,,,,,,,,,,,,"This research explored how K-16 educators learned physical computing, and developed as maker-educators in an online graduate course. With peer support and instructor guidance, these educators designed maker projects using Scratch and Makey Makey, and developed educational maker proposals with plans of teaching the topics of their choice in STEAM (Science, Technology, Engineering, Arts, and Mathematics) through physical computing. Educators were positive about the real-world impact of their course maker projects and experiences, and highly valued the support and sense of maker community in this online course. [2017 E-Learn Outstanding Paper Award]",,,,,,,,,,,,,,,,,,,October,"E-Learn: World Conference on E-Learning in Corporate, Government, Healthcare, and Higher Education",,,,,Manual,,,602-610,,,,,Association for the Advancement of Computing in Education (AACE),"Chesapeake, VA",,,,Physical Computing for STEAM Education: Maker-Educators' Experiences in an Online Graduate Course,,,,,,,,Proceeding,,,,https://www.learntechlib.org/p/181235/,,[],"[{""id"": 33801, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2017, ""termid"": ""2017/02"", ""listingorder"": 6, ""completionorder"": 6}]","['Hsu, Y. C.', 'Ching, Y. H.', 'Baldwin, S.']"
33802,113075443,113075443,,2017.0,,,,,,,,,,,,,,,,,"Effective online teaching requires instructors to develop knowledge and new skills conducive to creating meaningful and successful learning experiences for online students This exploratory case study examined 34 prospective online instructors’ reflections on their development of online teaching expertise at the end of a graduate course We analyzed participants’ written reflections for their developed understanding of online teaching We presented and discussed three major themes: (1) Perceptions of online instructors’ roles; (2) Development of pedagogical and technological knowledge; (3) Shifting from online learners’ perspectives to online teachers’ perspectives These themes represented the major patterns revealed in the prospective online instructors’ reflections, showing the areas of expertise they had developed in the graduate course We also provided implications for programs to develop online instructors and directions for future research.
https://www.learntechlib.org/p/181198/

",,,,,,,,,,,,,,,,,,,,"E-Learn: World Conference on E-Learning in Corporate, Government, Healthcare, and Higher Education",,,,,Manual,,,278-291,,,,,Association for the Advancement of Computing in Education (AACE),"Chesapeake, VA",,,,Becoming an online teacher: An analysis of prospective online instructors’ reflections,,,,,,,,Proceeding,,,,,,[],"[{""id"": 33802, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2017, ""termid"": ""2017/02"", ""listingorder"": 6, ""completionorder"": 6}]","['Ching, Y. H.', 'Hsu, Y. C.', 'Baldwin, S.']"
33871,111643744,111643744,,2017.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"March 18, 2017",Orthopaedic Research Society Annual Conference,,,,,Manual,,,,,,,,Orthopaedic Research Society ,"San Diego, CA",,,,Three-dimensional Graphene Scaffold for Musculoskeletal Tissue Engineering,,,,,,,,Proceeding,,,,,,[],"[{""id"": 33871, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2017, ""termid"": ""2016/03"", ""listingorder"": 6, ""completionorder"": 6}]","['Yocham, K.', 'Scott, C.', 'Fujimoto, K.', 'Tanasse, E.', 'Oxford, J. T.', 'Lujan, T. J.', 'Estrada, D.']"
33982,111663502,111663502,,2017.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Cognitive Load Theory Conference,,,,,Manual,,,,,,,,,,,,,The Effect of Worked Out Modeling in Nursing Simulaiton,,,,,,,,Proceeding,,,,,,[],"[{""id"": 33982, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2017, ""termid"": ""2017/02"", ""listingorder"": 6, ""completionorder"": 6}]","['Josephsen, J.']"
33994,111110288,111110288,,2017.0,,,,,,,,,,,,,,,,,,,,,,,,,978-0-7844-8069-4,,,,,,,,,,,June,GeoRisk 2017,,,,,Manual,,,650-659,,,,,American Society of Civil Engineers,,,,,Uncertainty in a geophysical survey for a bridge foundation design,,,,,,,,Proceeding,,,GSP285,,,[],"[{""id"": 33994, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2017, ""termid"": ""2016/03"", ""listingorder"": 6, ""completionorder"": 6}]","['Michaels PE, P.']"
34045,113144224,113144224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biodiversity and its Histories,,,,,Manual,,,,,,,,,,,,,Biodiversity as Justification: Conservation in South America in the Twentieth Century,,,,,,,,Proceeding,,,,http://www.crassh.cam.ac.uk/events/26937,,[],"[{""id"": 34045, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2017, ""termid"": ""2016/03"", ""listingorder"": 6, ""completionorder"": 6}]","['Wakild, E.']"
34046,113144224,113144224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"El lado colonial del patrimonio natural,",,,,,Manual,,,,,,,,,,,,,Memories of Extinction in South America,,,,,,,,Proceeding,,,,,,[],"[{""id"": 34046, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2017, ""termid"": ""2017/02"", ""listingorder"": 6, ""completionorder"": 6}]","['Wakild, E.']"
34089,113069189,113069189,,2017.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,summer 2017,"11th Biennial Conference for Symbiosis, A Journal of Transatlantic Literary and Cultural Relations at Daemen College and the University at Buffalo, Amherst, NY.",,,,,Manual,,,,,,,,,,,,,“A Transatlantic Dialogue: Nature and Spirit in Coleridge and Thoreau.” Co-authored with Rochelle L. Johnson. ,,,,,,,,Proceeding,,,,,,[],"[{""id"": 34089, ""status"": ""Completed/Published"", ""term"": ""Summer"", ""year"": 2017, ""termid"": ""2017/01"", ""listingorder"": 6, ""completionorder"": 6}]","['Harvey, S. C.']"
34105,111632553,111632553,,2017.0,,,,,,,,,,,,,,,,,"Using cloud services, users are able to store information from one device and easily access the same data from a completely different device. Cloud service providers usually put more emphasis on defending outside attacks rather than internal attacks. Thus, data stored on the cloud usually suffers more from insider threats and can be viewed by anyone with access to the server. Our solution is a cloud security strategy where data is selectively and strategically encrypted before it is stored in a cloud server, which renders the data unintelligible to both outside attackers and malicious insiders. The strategic encryption allows for queries to be run over the encrypted data on the server without decryption. Decryption keys are stored within the data owner’s organization and are never revealed to the server, meaning it cannot be decrypted by anyone besides the owner. This allows entities to store highly sensitive data on cloud services without the extra risk associated with cloud storage.",,,,,,,,,,,,,,,,,,,November,The 21st International Computer Science and Engineering Conference,,,,,Manual,,,,,,,,,,,,,Query over encrypted database in clouds – the encryption strategy,,,,,,,,Proceeding,,,,,,"[{""attachmentid"": 5997, ""mimetype"": ""application/pdf"", ""filename"": ""Query Over Encrypted Databases in Clouds.pdf"", ""downloadurl"": ""https://faculty180.interfolio.com/public/download.php?key=SDRwNCtxSUpsamxBQ213WS9ucHFuOXdEckhSTndUMEU1ZEl3S1FYNlk1UTRFRytxRHVPV3RGeEM1UlkwREhVeXo2REJlMGYvK25xT25MYWNtYy9WeWYrQTVNWkh5eGhyeUZQQ0kyTlhIb0VEaW1qRTE4NHhHQmZlaTBZd2hsQWlKbVkwZ3lSWkxLS2diOHlzNS8vZHlxNkZnRW1aaU15Lw%3D%3D"", ""filesize"": 371571}]","[{""id"": 34105, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2017, ""termid"": ""2017/02"", ""listingorder"": 6, ""completionorder"": 6}]","['Douglas, J.', 'Robison, M.', 'Yeh, J. H.']"
34106,111632553,111632553,,2017.0,,,,,,,,,,,,,,,,,"Cybersecurity has become one of the largest growing fields in computer science and the technology industry. Faulty security has cost the global economy immense losses. Oftentimes, the pitfall in such financial loss is due to the security of passwords. Companies and regular people alike do not do enough to enforce strict password guidelines like the NIST (National Institute of Standard Technology) recommends. When big security breaches happen, thousands to millions of passwords can be exposed and stored into files, meaning people are susceptible to dictionary and rainbow table attacks. Those are only two examples of attacks that are used to crack passwords. In this paper, we will be going over three open-source password managers, each chosen for their own uniqueness. Our results will conclude on the overall security of each password manager using a list of established attacks and development of new potential attacks on such software. Additionally, we will compare our research with the limited research already conducted on password managers. Finally, we will provide some general guidelines of how to develop a better and more secure password manager.",,,,,,,,,,,,,,,,,,,December,"The 18th International Conference on Parallel and Distributed Computing, Applications and Technologies (PDCAT’17)",,,,,Manual,,,,,,,,,,,,,Analysis on the Security and Use of Password Managers,,,,,,,,Proceeding,,,,,,"[{""attachmentid"": 5998, ""mimetype"": ""application/pdf"", ""filename"": ""Analysis on the Security and Use of Password Managers.pdf"", ""downloadurl"": ""https://faculty180.interfolio.com/public/download.php?key=SDRwNCtxSUpsamxBQ213WS9ucHFuOXdEckhSTndUMEU1ZEl3S1FYNlk1UTRFRytxRHVPV3RGeEM1UlkwREhVeXo2REJlMGYvK25xT25MYWNtYy9WeWN3K2dGWm94a3E3alRQUGNMSk1xSmV1ekQvaFY5cGRsL0lKbXVpeTRDWG1KRGVHazVPbzNINTgrSFJVWm5jS1huZ2pvbWtRNVlaNGdvQUd4U0NETmNWOHNVMzVlTjViYWc9PQ%3D%3D"", ""filesize"": 769708}]","[{""id"": 34106, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2017, ""termid"": ""2017/02"", ""listingorder"": 6, ""completionorder"": 6}]","['Luevanos, C.', 'Elizarraras, J.', 'Hirschi, K.', 'Yeh, J. H.']"
34107,111632553,111632553,,2017.0,,,,,,,,,,,,,,,,,"The equipment lock has been an important tool for the power company to protect the electricity metering equipment. However, the conventional equipment lock has two potential problems: vandalism and counterfeiting. To fulfill the control and track the potential illegal behavior, the human labor and paper are required to proceed with related operations, resulting in the consumption of a large amount of human resources and maintenance costs.
This study focused on the design of RFID technology applied to the traditional equipment lock, which, through the mobile and electronic technology, strengthens the management/operating convenience of the lock and provides the solutions for anti-counterfeiting and spoilage detection so that the national energy can be properly protected and fairly distributed. ",,,,,,,,,,,,,,,,,,,December,"The 18th International Conference on Parallel and Distributed Computing, Applications and Technologies (PDCAT’17)",,,,,Manual,,,,,,,,,,,,,Development of an Intelligent Equipment Lock Management System with RFID Technology,,,,,,,,Proceeding,,,,,,"[{""attachmentid"": 5999, ""mimetype"": ""application/pdf"", ""filename"": ""PDCAT2017- RFID application.pdf"", ""downloadurl"": ""https://faculty180.interfolio.com/public/download.php?key=SDRwNCtxSUpsamxBQ213WS9ucHFuOXdEckhSTndUMEU1ZEl3S1FYNlk1UTRFRytxRHVPV3RGeEM1UlkwREhVeXo2REJlMGYvK25xT25MYWNtYy9WeWVHQzhLanFOQVdLd2NOSkpNcEdkamxEMWpYeExJZHh2bzFDcDN1NDEyNGNuTUNDeDZYZnpkZz0%3D"", ""filesize"": 637866}]","[{""id"": 34107, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2017, ""termid"": ""2017/02"", ""listingorder"": 6, ""completionorder"": 6}]","['Chen, Y. C.', 'Chu, C. N.', 'Sun, H. M.', 'Yeh, J. H.', 'Chen, R. S.']"
34108,111632553,111632553,,2019.0,,,,,,,,,,,,,,,,,"In this Research to Practice paper, we present a sustainable model for teaching training in Computer Science. To address issues related to self-efﬁcacy and teacher preparation, we started a formal program (IDoCode) that not only provides teacher training through the academic year, but also provides teachers the opportunity to obtain a Masters in STEM Education degree or a Graduate Certiﬁcate in Computer Science Teacher Endorsement. 

Through our program, we have shown that teachers feel more conﬁdent in their ability to teach computer science courses such as Exploring CS, AP CS Principles, and the Java-based AP CS A, as well as leading the students in a capstone project. In this paper, we present a sustainable approach to make a cultural change in the landscape of Computer Science education in the state of Idaho. We discuss various factors including working with the State Board of Education, local software companies, the university, and other invested partners to help CS courses in high school count towards graduation. We have also been active with respect to community engagement by organizing an annual meeting with counselors and principals to encourage women and minorities to take computer science courses and conducting summer professional development workshops for new teachers. ",,,,,,,,,,,,,,,,,,,October,2019 IEEE Frontiers in Education Conference (FIE),,,,,Manual,,,,,,,,,,,,,A Sustainable Model for High-School Teacher Preparation in Computer Science,,,,,,,,Proceeding,,,,,,"[{""attachmentid"": 6000, ""mimetype"": ""application/pdf"", ""filename"": ""idocode-sustainable-model.pdf"", ""downloadurl"": ""https://faculty180.interfolio.com/public/download.php?key=SDRwNCtxSUpsamxBQ213WS9ucHFuOXdEckhSTndUMEU1ZEl3S1FYNlk1UTRFRytxRHVPV3RGeEM1UlkwREhVeXo2REJlMGYvK25vMk9BQ09WWGtlUXdnMGIxa0hOL1lGdkRwODg0TWZEKzYvbTJBaUw3V3hzcndDQ015ODN0dFJLaUcvZ01LL1U3UT0%3D"", ""filesize"": 263303}, {""attachmentid"": 21130, ""mimetype"": ""application/pdf"", ""filename"": ""A Sustainable Model for High-School Teacher Preparation in Computer Science.pdf"", ""downloadurl"": ""https://faculty180.interfolio.com/public/download.php?key=SDRwNCtxSUpsamxBQ213WS9ucHFuOXdEckhSTndUMEU1ZEl3S1FYNlk1UTRFRytxRHVPV3RGeEM1UlkwREhVeXo2REJlMGYvK25xSEdSMENmVFBzdEcrMzBQNGVvNTYrRFdwUTdhMitZVHVZR3ZzWkJuME1qNHVTVHNuVjU5MmdrQnRsOFdzMnVXTTdsMTI5V0l4cHQ2a0gzTDY4UVFjZWtPRDBLNGdqVWJGSXBSSWFJK2RibGZZSUpWc0JlelIzTCtHS2pQUTREdFdpQkxpUzJMUFZWQT09"", ""filesize"": 182915}]","[{""id"": 34108, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2019, ""termid"": ""2019/02"", ""listingorder"": 6, ""completionorder"": 6}]","['Joshi, A.', 'Jain, A.', 'Yeh, J. H.', 'Covelli, E.', 'Andersen, T.']"
34173,114048777,114048777,,2017.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Proceedings of the 2017 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining 2017, Sydney, Australia, July 31 - August 03, 2017",,,,,BibTeX,,,,,,,,,,,,,Who Will Stop Contributing?: Predicting Inactive Editors in Wikipedia,,,,,,,,Proceeding,,,,,,[],"[{""id"": 34173, ""status"": ""Completed/Published"", ""term"": ""Summer"", ""year"": 2017, ""termid"": ""2017/01"", ""listingorder"": 6, ""completionorder"": 6}]","['Arelli, H.', 'Spezzano, F.']"
34174,114048777,114048777,,2017.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Proceedings of the 2017 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining 2017, Sydney, Australia, July 31 - August 03, 2017",,,,,BibTeX,,,,,,,,,,,,,Predicting Friendship Strength for Privacy Preserving: A Case Study on Facebook,,,,,,,,Proceeding,,,,,,[],"[{""id"": 34174, ""status"": ""Completed/Published"", ""term"": ""Summer"", ""year"": 2017, ""termid"": ""2017/01"", ""listingorder"": 6, ""completionorder"": 6}]","['Dhakal, N.', 'Spezzano, F.', 'Xu, D.']"
34175,114048777,114048777,,2017.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Proceedings of the 2017 ACM on Conference on Information and Knowledge Management, CIKM 2017, Singapore, November 06 - 10, 2017",,,,,BibTeX,,,,,,,,,,,,,A Scalable Graph-Coarsening Based Index for Dynamic Graph Databases,,,,,,,,Proceeding,,,,,,[],"[{""id"": 34175, ""status"": ""Completed/Published"", ""term"": ""Summer"", ""year"": 2017, ""termid"": ""2017/01"", ""listingorder"": 6, ""completionorder"": 6}]","['Kansal, A.', 'Spezzano, F.']"
34176,114048777,114048777,,2017.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Proceedings of the Eleventh International Conference on Web and Social Media, ICWSM 2017, Montr'{e}al, Qu'{e}bec, Canada, May 15-18, 2017.",,,,,BibTeX,,,,,,,,,,,,,Spam Users Identification in Wikipedia Via Editing Behavior,,,,,,,,Proceeding,,,,,,[],"[{""id"": 34176, ""status"": ""Completed/Published"", ""term"": ""Summer"", ""year"": 2017, ""termid"": ""2017/01"", ""listingorder"": 6, ""completionorder"": 6}]","['Green, T.', 'Spezzano, F.']"
34177,114062811,114062811,,2017.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CEUR Workshop Proceedings,,,,,BibTeX,,,,,,,,,,,,,"Silence, please! interrupting in-car phone conversations",,,,,,,,Proceeding,,,1943,,,[],"[{""id"": 34177, ""status"": ""Completed/Published"", ""term"": ""Summer"", ""year"": 2017, ""termid"": ""2017/01"", ""listingorder"": 6, ""completionorder"": 6}]","['Gambino, S. L.', 'Kennington, C.', 'Schlangen, D.']"
34180,114062811,114062811,,2017.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Proceedings of SEMDial,,,,,BibTeX,,,,,,,,,,,,,"Towards a Dialogue System with Long-term, Episodic Memory",,,,,,,,Proceeding,,,,,,[],"[{""id"": 34180, ""status"": ""Completed/Published"", ""term"": ""Summer"", ""year"": 2017, ""termid"": ""2017/01"", ""listingorder"": 6, ""completionorder"": 6}]","['Kondratyuk, D.', 'Kennington, C.']"
34181,114062811,114062811,,2017.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Proceedings of HAI,,,,,BibTeX,,,,,,,,ACM,,,,,A Graphical Digital Personal Assistant that Grounds and Learns Autonomously,,,,,,,,Proceeding,,,,,,[],"[{""id"": 34181, ""status"": ""Completed/Published"", ""term"": ""Summer"", ""year"": 2017, ""termid"": ""2017/01"", ""listingorder"": 6, ""completionorder"": 6}]","['Kennington, C.', 'Shukla, A.']"
34183,114058343,114058343,,2017.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August,Proceedings of the Eleventh ACM Conference on Recommender Systems,,,,,Manual,,,376-377,,,,,,,,,,KidRec: Children & Recommender Systems: Workshop Co-located with ACM Conference on Recommender Systems (RecSys 2017),,,,,,,,Proceeding,,,,,,[],"[{""id"": 34183, ""status"": ""Completed/Published"", ""term"": ""Summer"", ""year"": 2017, ""termid"": ""2017/01"", ""listingorder"": 6, ""completionorder"": 6}]","['Fails, J. A.', 'Pera, M. S.', 'Garzotto, F.', 'Gelsomini, M.']"
34310,111110305,111110305,,2017.0,,,,,,,,,,,,,,,,,,,,,,,,,978-1-5090-5919-5 ,,,,,,,,,,,2017,47th IEEE Annual Frontiers in Education (FIE) Conference ,,,,,Manual,,,,,,,,,,,,,Panel: Influencing Culture and Curriculum  Via Revolution,,,,,,,,Proceeding,,,,,,"[{""attachmentid"": 6203, ""mimetype"": ""application/pdf"", ""filename"": ""FIE-2017-Hatchery-paper.pdf"", ""downloadurl"": ""https://faculty180.interfolio.com/public/download.php?key=SDRwNCtxSUpsamxBQ213WS9ucHFuOXdEckhSTndUMEU1ZEl3S1FYNlk1UTRFRytxRHVPV3RGeEM1UlkwREhVeVNhTzlHZUsyQUsycGpjWk55cFZhdmZ5STcxOWxIY1M4RytoOWh6Sk90cFN5cmJTR0oyOWU1VnlLN3ZJODBUOHRvSWEyWHBUQ0svST0%3D"", ""filesize"": 230826}]","[{""id"": 34310, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2017, ""termid"": ""2017/02"", ""listingorder"": 6, ""completionorder"": 6}]","['Jain, A.']"
34325,111669747,111669747,,2005.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Proceedings, 1st International Conference on Ceramic Interconnect and Ceramic Microsystems Technologies (CICMT), Baltimore, USA, WA33",,,,,BibTeX,,,,,,,,,,,,,Mini-and micro-channel devices in LTCC,,,,,,,,Proceeding,,,,,,[],"[{""id"": 34325, ""status"": ""Completed/Published"", ""term"": ""Summer"", ""year"": 2005, ""termid"": ""2005/01"", ""listingorder"": 6, ""completionorder"": 6}]","['Youngsman, J.', 'Moll, A.', 'Plumlee, D. G.', 'Schimpf, M.']"
34328,111669747,111669747,,2004.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Microelectronics and Electron Devices, 2004 IEEE Workshop",,,,,BibTeX,,,,,,,,,,,,,Development of a micro-nozzle and ion mobility spectrometer in LTCC,,,,,,,,Proceeding,,,,,,[],"[{""id"": 34328, ""status"": ""Completed/Published"", ""term"": ""Summer"", ""year"": 2004, ""termid"": ""2004/01"", ""listingorder"": 6, ""completionorder"": 6}]","['Plumlee, D.', 'Steciak, J.', 'Moll, A.']"
34329,111669747,111669747,,2005.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Microelectronics and Electron Devices, 2005. WMED'05. 2005 IEEE Workshop",,,,,BibTeX,,,,,,,,,,,,,Energy scavenging device in LTCC materials,,,,,,,,Proceeding,,,,,,[],"[{""id"": 34329, ""status"": ""Completed/Published"", ""term"": ""Summer"", ""year"": 2005, ""termid"": ""2005/01"", ""listingorder"": 6, ""completionorder"": 6}]","['Scherrer, S.', 'Plumlee, D. G.', 'Moll, A. J.']"
34339,111669747,111669747,,2003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROCEEDINGS-SPIE THE INTERNATIONAL SOCIETY FOR OPTICAL ENGINEERING,,,,,BibTeX,,,,,,,,,,,,,Ion mobility spectrometer fabricated in LTCC,,,,,,,,Proceeding,,,,,,[],"[{""id"": 34339, ""status"": ""Completed/Published"", ""term"": ""Summer"", ""year"": 2003, ""termid"": ""2003/01"", ""listingorder"": 6, ""completionorder"": 6}]","['Plumlee, D. G.', 'Hartman, J.', 'Moll, A. J.', 'Tam, M.', 'Dwivedi, P.', 'Hill, H. H.']"
